,Unnamed: 0,ATS SYSTEM CODE,LOCATION_NAME,LOCATION_TYPE_DESCRIPTION,LOCATION_CATEGORY_DESCRIPTION,GRADES_FINAL_TEXT,OPEN_DATE,STATUS_DESCRIPTIONS,PRIMARY_ADDRESS_LINE_1,COMMUNITY_DISTRICT,COUNCIL_DISTRICT,CENSUS_TRACT,NTA,GEOGRAPHICAL_DISTRICT_CODE,LatLong,latitude,longitude,zipcode,zcta,nbhLabel,boroLabel,label
1456,1456,31R003      ,P.S. 003 The Margaret Gioiosa School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1959 12:00,Open,80 SOUTH GOFF AVENUE,503,51,19800,SI01,31,"(40.520812, -74.21185)",40.520812,-74.21185,10309,10309,"Charleston, Prince's Bay",Staten Island,P.S. 003 The Margaret Gioiosa School Elementary
1457,1457,31R004      ,P.S. 004 Maurice Wollin,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1984 12:00,Open,200 NEDRA LANE,503,51,17010,SI48,31,"(40.552059, -74.195281)",40.552059,-74.195281,10312,10312,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island,P.S. 004 Maurice Wollin Elementary
1458,1458,31R005      ,P.S. 005 Huguenot,General Academic,Elementary,"0K,01,02,03,04,05",1/7/1930 12:00,Open,348 DEISIUS STREET,503,51,17600,SI01,31,"(40.529389, -74.187276)",40.529389,-74.187276,10312,10312,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island,P.S. 005 Huguenot Elementary
1459,1459,31R006      ,P.S. 6 Corporal Allan F. Kivlehan School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2000 12:00,Open,555 PAGE AVENUE,503,51,24401,SI11,31,"(40.510207, -74.230118)",40.510207,-74.230118,10307,10307,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island,P.S. 6 Corporal Allan F. Kivlehan School Elementary
1460,1460,31R007      ,I.S. 007 Elias Bernstein,General Academic,Junior High-Intermediate-Middle,"06,07,08",1/7/1965 12:00,Open,1270 HUGUENOT AVENUE,503,51,19800,SI01,31,"(40.522971, -74.186096)",40.522971,-74.186096,10312,10312,"Port Richmond, West Brighton, Edwin Markham Gardens",Staten Island,I.S. 007 Elias Bernstein Junior High-Intermediate-Middle
1461,1461,31R008      ,P.S. 8 Shirlee Solomon,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2017 12:00,Open,112 LINDENWOOD ROAD,503,51,15601,SI54,31,"(40.547567, -74.152212)",40.547567,-74.152212,10308,10308,Great Kills,Staten Island,P.S. 8 Shirlee Solomon Elementary
1462,1462,31R009      ,Naples Street Elementary School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2013 12:00,Open,1055 TARGEE STREET,502,50,5000,SI14,31,"(40.60265, -74.090245)",40.60265,-74.090245,10304,10304,"Clifton, Grasmere, Fox Hills, Park Hill, Todt Hill, Stapleton",Staten Island,Naples Street Elementary School Elementary
1463,1463,31R010      ,Fort Hill Collaborative Elementary School,General Academic,Elementary,"0K,01,02,03,04,05",1/7/2014 12:00,Open,80 MONROE AVENUE,501,49,1100,SI22,31,"(40.639638, -74.079594)",40.639638,-74.079594,10301,10301,"New Brighton, St. George, Tompkinsville, Silver Lake, Sunnyside",Staten Island,Fort Hill Collaborative Elementary School Elementary
1464,1464,31R011      ,P.S. 11 Thomas Dongan School,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/2021 12:00,Open,50 JEFFERSON STREET,502,50,9602,SI36,31,"(40.590887, -74.098252)",40.590887,-74.098252,10304,10304,"Clifton, Grasmere, Fox Hills, Park Hill, Todt Hill, Stapleton",Staten Island,P.S. 11 Thomas Dongan School Elementary
1465,1465,31R013      ,P.S. 013 M. L. Lindemeyer,General Academic,Elementary,"PK,0K,01,02,03,04,05",1/7/1981 12:00,Open,191 VERMONT AVENUE,501,49,800,SI37,31,"(40.613322, -74.068963)",40.613322,-74.068963,10305,10305,"Arrochar, Concord, Grasmere, Fort Wadsworth, Shore Acres, Rosebank",Staten Island,P.S. 013 M. L. Lindemeyer Elementary
