License Number,Establishment Type,Entity Name,Street Number,Street Name,City,State,Zip Code,latitude,longitude,zcta,nbhLabel,boroLabel,label
672137,JAC   ,2901 KS DELI GROCERY INC         ,2901,AVENUE D                    ,BROOKLYN          ,NY,11226,40.62908,-73.94803,11226,"Flatbush, Prospect Park South",Brooklyn,2901 KS DELI GROCERY INC
710833,A     ,NEW ANCHOR GROCERY INC           ,544,HEMLOCK ST                   ,BROOKLYN          ,NY,11208,40.675889,-73.869182,11208,Cypress Hills,Brooklyn,NEW ANCHOR GROCERY INC
612211,JAC   ,FEI LONG MARKET INC              ,6301,8TH AVE                     ,BROOKLYN          ,NY,11220,40.633657,-74.011459,11220,Sunset Park,Brooklyn,FEI LONG MARKET INC
708176,JAC   ,BROOKLYN STANDARD DELI 2 INC     ,766,GRAND ST                     ,BROOKLYN          ,NY,11211,40.711769,-73.942582,11211,Williamsburg,Brooklyn,BROOKLYN STANDARD DELI 2 INC
712610,A     ,DEEDAN CANDY & GROCERY INC       ,484,KINGS HWY                    ,BROOKLYN          ,NY,11223,40.604211,-73.97185,11223,"Gravesend, Homecrest, Kensington",Brooklyn,DEEDAN CANDY & GROCERY INC
702212,JAC   ,HOMRAN BORHAN A                  ,613,MADISON ST                   ,BROOKLYN          ,NY,11221,40.686743,-73.932959,11221,"Bedford-Stuyvesant, Bushwick",Brooklyn,HOMRAN BORHAN A
704885,JAC   ,DENASTY MARIE                    ,794,FLATBUSH AVE                 ,BROOKLYN          ,NY,11226,40.653288,-73.959399,11226,"Flatbush, Prospect Park South",Brooklyn,DENASTY MARIE
707593,JABCDK,STEVES AUTHENTIC INC             ,185,VAN DYKE ST                  ,BROOKLYN          ,NY,11231,40.677927,-74.018051,11231,"Carroll Gardens, Columbia Heights, Red Hook",Brooklyn,STEVES AUTHENTIC INC
616111,JAC   ,RUTLAND MEAT & PRODUCE CORP      ,1036,RUTLAND RD                  ,BROOKLYN          ,NY,11212,40.663411,-73.925244,11212,"Brownsville, East Flatbush",Brooklyn,RUTLAND MEAT & PRODUCE CORP
672051,A     ,REYES PATRICIA M                 ,679,MYRTLE AVE                   ,BROOKLYN          ,NY,11205,40.694565,-73.956263,11205,"Bedford-Stuyvesant, Navy Yard, Clinton Hill, Fort Greene",Brooklyn,REYES PATRICIA M
